"","FacID","FacLatitude","FacLongitude","zip","Exposure","Exposure_popwt","Exposure_popwt_tot_fac","Fac_rank_exp","Fac_rank_popwt","year"
"162","1363",38.1828,-85.8894,"40214",28156.1099158199,1258127615.47849,18506684378.1223,5,5,2005
"163","1363",38.1828,-85.8894,"40215",30014.0623024496,730152093.631692,18506684378.1223,5,5,2005
"164","1363",38.1828,-85.8894,"40216",32272.2509866392,1285371484.54685,18506684378.1223,5,5,2005
"165","1378",37.2608,-86.9783,"40217",28859.0728306543,358169952.90125,20266293286.2437,5,5,2005
"166","2850",38.6361,-83.6939,"40218",24528.0235187,736870882.548784,19543764678.6266,5,5,2005
"167","1363",38.1828,-85.8894,"40219",27232.8990849972,949229930.506661,18506684378.1223,5,5,2005
"168","2850",38.6361,-83.6939,"40220",25152.1666760204,819105459.971279,19543764678.6266,5,5,2005
"169","2850",38.6361,-83.6939,"40222",26292.6692011686,528666699.627896,19543764678.6266,5,5,2005
"170","2850",38.6361,-83.6939,"40223",27091.0703241414,614560930.303148,19543764678.6266,5,5,2005
"171","1364",38.0531,-85.91,"40228",25278.3175010686,364690286.587917,22423021971.2932,5,5,2005
"172","1364",38.0531,-85.91,"40229",23686.7101316317,787085690.963989,22423021971.2932,5,5,2005
"173","2850",38.6361,-83.6939,"40241",29029.9739722624,748828178.61451,19543764678.6266,5,5,2005
"174","2850",38.6361,-83.6939,"40242",29029.9739722624,318632994.319553,19543764678.6266,5,5,2005
"175","2850",38.6361,-83.6939,"40243",27629.681517697,275412665.368403,19543764678.6266,5,5,2005
"176","1378",37.2608,-86.9783,"40245",25075.3704671537,649326718.246945,20266293286.2437,5,5,2005
"177","1363",38.1828,-85.8894,"40258",32831.0420840806,818280892.903626,18506684378.1223,5,5,2005
"178","1363",38.1828,-85.8894,"40272",32331.3618498683,1116498918.7615,18506684378.1223,5,5,2005
"179","1378",37.2608,-86.9783,"40291",24096.8681406268,769316612.257652,20266293286.2437,5,5,2005
"180","1378",37.2608,-86.9783,"40299",22978.5205553854,772514882.5515,20266293286.2437,5,5,2005
"181","6113",38.3722,-87.7661,"40023",18919.3448373107,60068919.8584616,19139174225.5372,6,6,2005
"182","1356",38.7497,-85.035,"40025",25948.4338464757,5008047.73236982,12607184217.7243,6,6,2005
"183","6113",38.3722,-87.7661,"40059",26093.9145144711,379640362.271041,19139174225.5372,6,6,2005
"184","6113",38.3722,-87.7661,"40118",26105.99585969,239600830.000234,19139174225.5372,6,6,2005
"185","6113",38.3722,-87.7661,"40177",29427.2891927122,53116256.9928456,19139174225.5372,6,6,2005
"186","6113",38.3722,-87.7661,"40202",31342.898481289,150633970.101075,19139174225.5372,6,6,2005
"187","6113",38.3722,-87.7661,"40203",31342.898481289,636135467.576243,19139174225.5372,6,6,2005
"188","6113",38.3722,-87.7661,"40204",27008.40811319,406746626.184642,19139174225.5372,6,6,2005
"189","1378",37.2608,-86.9783,"40205",23849.9369459232,547713801.963125,20266293286.2437,6,6,2005
"190","1363",38.1828,-85.8894,"40206",27574.1753180722,531823119.359658,18506684378.1223,6,6,2005
"191","1364",38.0531,-85.91,"40207",25777.4157074866,756618705.846148,22423021971.2932,6,6,2005
"192","6113",38.3722,-87.7661,"40208",31328.2470945606,399967730.656256,19139174225.5372,6,6,2005
"193","1363",38.1828,-85.8894,"40209",26707.3967527327,12632598.6640426,18506684378.1223,6,6,2005
"194","6113",38.3722,-87.7661,"40210",31328.2470945606,510901053.618095,19139174225.5372,6,6,2005
"195","6113",38.3722,-87.7661,"40211",31328.2470945606,758237564.429651,19139174225.5372,6,6,2005
"196","6113",38.3722,-87.7661,"40212",31342.898481289,609995490.242847,19139174225.5372,6,6,2005
"197","1363",38.1828,-85.8894,"40213",26707.3967527327,464201262.959247,18506684378.1223,6,6,2005
"198","1378",37.2608,-86.9783,"40214",27712.8267207434,1238319949.1897,20266293286.2437,6,6,2005
"199","1378",37.2608,-86.9783,"40215",29376.2448167852,714635907.657933,20266293286.2437,6,6,2005
"200","1378",37.2608,-86.9783,"40216",31114.876063231,1239274398.72243,20266293286.2437,6,6,2005
"201","6113",38.3722,-87.7661,"40217",27008.40811319,335201353.092801,19139174225.5372,6,6,2005
"202","1378",37.2608,-86.9783,"40218",24117.9637372915,724551866.59571,20266293286.2437,6,6,2005
"203","6113",38.3722,-87.7661,"40219",25688.6391217383,895403205.22731,19139174225.5372,6,6,2005
"204","1364",38.0531,-85.91,"40220",24713.7941477417,804829420.215356,22423021971.2932,6,6,2005
"205","1364",38.0531,-85.91,"40222",24464.1150696561,491899961.705576,22423021971.2932,6,6,2005
"206","1364",38.0531,-85.91,"40223",23786.6314136528,539599733.618713,22423021971.2932,6,6,2005
"207","6113",38.3722,-87.7661,"40228",22778.5761795855,328626518.542879,19139174225.5372,6,6,2005
"208","6113",38.3722,-87.7661,"40229",22964.9658419111,763102849.960863,19139174225.5372,6,6,2005
"209","6113",38.3722,-87.7661,"40241",24695.1292375276,637010858.682025,19139174225.5372,6,6,2005
"210","6113",38.3722,-87.7661,"40242",24695.1292375276,271053738.511103,19139174225.5372,6,6,2005
"211","6113",38.3722,-87.7661,"40243",22191.4840406615,221204712.917314,19139174225.5372,6,6,2005
"212","6113",38.3722,-87.7661,"40245",21499.6261370394,556732818.818635,19139174225.5372,6,6,2005
"213","6113",38.3722,-87.7661,"40258",30055.9306406838,749114015.288403,19139174225.5372,6,6,2005
"214","6113",38.3722,-87.7661,"40272",30329.3744629553,1047364288.32924,19139174225.5372,6,6,2005
"215","1364",38.0531,-85.91,"40291",23095.0959135288,737334032.13532,22423021971.2932,6,6,2005
"216","6113",38.3722,-87.7661,"40299",20326.946893064,683371627.597917,19139174225.5372,6,6,2005
"217","1364",38.0531,-85.91,"40023",17586.5754013146,55837376.8991738,22423021971.2932,7,7,2005
"218","1363",38.1828,-85.8894,"40025",24370.0912269883,4703427.60680873,18506684378.1223,7,7,2005
"219","1356",38.7497,-85.035,"40059",25719.4464488711,374192226.384626,12607184217.7243,7,7,2005
"220","2850",38.6361,-83.6939,"40118",25346.1310917912,232626791.160459,19543764678.6266,7,7,2005
"221","1378",37.2608,-86.9783,"40177",27387.3730056295,49434208.2751613,20266293286.2437,7,7,2005
"222","1378",37.2608,-86.9783,"40202",31245.9359973087,150167968.403066,20266293286.2437,7,7,2005
"223","1378",37.2608,-86.9783,"40203",31245.9359973087,634167517.001378,20266293286.2437,7,7,2005
"224","1363",38.1828,-85.8894,"40204",26181.8944204682,394299329.972251,18506684378.1223,7,7,2005
"225","6113",38.3722,-87.7661,"40205",22688.5691318195,521042990.112235,19139174225.5372,7,7,2005
"226","6113",38.3722,-87.7661,"40206",27422.6025612888,528899735.599577,19139174225.5372,7,7,2005
"227","6113",38.3722,-87.7661,"40207",23502.3066412886,689839704.535102,19139174225.5372,7,7,2005
"228","1363",38.1828,-85.8894,"40208",30002.5315774653,383042320.6495,18506684378.1223,7,7,2005
