zcta5a,year,totpop,pov_p,edu_lths_p,unempl_p,uninsur_p,black_p
40222,2015,21021,7.421032,4.8734179,4.6152482,7.9107108,5.0711193
40222,2016,21520,6.9338698,5.1278858,4.0288634,6.9747458,5.7574348
40223,2012,21500,5.7404089,2.2953429,6.3300939,6.3883915,7.823256
40223,2013,21610,7.7908068,3.4620681,6.4253936,7.8528457,7.8852382
40223,2014,21491,7.6723571,3.7065787,6.4532738,6.5789475,9.2317715
40223,2015,22079,6.9512587,3.8202107,5.8857713,6.4717493,9.6652927
40223,2016,23168,6.5876904,3.7554638,4.9431458,5.4610643,8.0714779
40228,2012,15897,8.4113922,9.6579094,6.3123312,8.5341234,17.355476
40228,2013,15771,8.7006369,9.5692425,7.2742677,7.4567242,16.302073
40228,2014,16008,7.7328315,9.061697,6.3540444,7.9477239,18.665667
40228,2015,16010,9.157486,8.7602415,5.4930587,7.5702686,14.67208
40228,2016,16150,8.494544,7.3860612,5.0494714,8.2476778,14.099072
40229,2012,36630,11.737128,13.990667,10.38941,11.907628,7.4720173
40229,2013,36741,12.984406,14.084204,11.24017,12.838518,6.798944
40229,2014,36536,12.462982,13.503804,10.064734,12.913317,4.8472738
40229,2015,36788,11.070646,13.045083,8.4615383,11.650644,5.9448733
40229,2016,37632,12.021564,12.874491,7.7172503,9.7940063,7.1295705
40241,2012,29260,4.7187304,3.653012,5.7733603,7.0115023,9.9350653
40241,2013,29783,5.0753021,2.9883521,6.6107669,7.185307,12.030353
40241,2014,29907,5.5273166,3.2825432,5.0148568,7.0521674,10.06119
40241,2015,29891,5.9822149,3.1992474,4.6151919,5.2580099,10.78251
40241,2016,30263,7.4968362,3.3257148,4.7794118,5.1277781,10.554142
40242,2012,10761,7.030807,5.122314,6.0799737,9.3832512,10.547347
40242,2013,11193,7.0579696,4.5631318,6.1305103,9.8186369,10.086661
40242,2014,11334,8.1773396,3.7643821,5.998734,10.559729,10.349391
40242,2015,11403,7.5459957,4.7493734,5.7069573,10.340233,11.032185
40242,2016,11304,9.0305805,5.269825,5.2786403,9.5233831,11.650743
40243,2012,10004,9.1771832,4.3693213,3.7237015,8.3147211,7.7369051
40243,2013,10509,9.7839651,4.8215404,3.9783978,8.7829475,6.508707
40243,2014,10569,9.6379786,5.7667608,2.980196,9.1468105,5.0998201
40243,2015,10361,7.0509071,4.4098234,2.9411764,6.8410268,5.6944308
40243,2016,10364,6.6029453,3.7213614,2.3742228,6.0033135,5.3454266
40245,2012,30352,3.7667234,3.9133232,3.8416693,4.9945025,9.1031895
40245,2013,30743,4.5272398,3.6919374,3.8764498,4.4888268,8.7597179
40245,2014,31941,4.6533227,3.9402931,3.5475156,3.7352095,9.4768476
40245,2015,32896,4.4480538,3.4249377,3.8705916,2.6291168,8.6788664
40245,2016,33338,4.3281236,3.4419315,3.2686179,2.3694494,9.2687025
40258,2012,27304,12.533402,13.490218,10.02648,12.089202,13.195868
40258,2013,27394,12.041073,13.444961,9.9682541,12.754618,14.499525
40258,2014,27222,12.212231,12.984017,9.7780275,12.085813,13.786643
40258,2015,27000,12.43854,12.534849,9.1127434,10.77037,12.718518
40258,2016,27410,12.114189,12.523515,7.915031,7.4753737,13.951113
40272,2012,37826,13.486526,14.76198,10.761763,12.701247,3.2411568
40272,2013,37708,12.053369,14.86317,10.361034,13.578021,3.6066618
40272,2014,38758,12.050828,14.398057,8.9456043,12.901382,4.1591415
40272,2015,38519,12.414734,14.621268,8.3066082,11.61982,4.5432124
40272,2016,37138,12.106393,13.919037,6.7010589,8.5024309,5.3126178
40291,2012,33897,6.864224,6.5704789,7.2340426,8.4466248,10.104139
40291,2013,34087,7.6332059,6.5716348,6.9897723,8.5252438,10.385191
40291,2014,35110,7.0198979,7.1135092,6.3518829,7.9422588,10.529763
40291,2015,36786,6.5561252,5.7215109,5.0901275,7.3537817,10.520307
40291,2016,37403,6.4075375,5.7043076,3.8758566,6.325285,10.934952
40299,2012,38833,6.4984012,7.9525533,6.0259838,9.0953951,8.0524292
40299,2013,38530,6.8974552,7.5605745,6.5574527,9.8287048,7.923696
40299,2014,38952,6.9775276,7.0267067,6.0458336,8.5389776,7.34237
40299,2015,38402,5.9301744,5.7242465,5.5608139,6.5506411,8.0230198
40299,2016,38969,6.0955949,5.9658985,4.5722713,5.0941792,8.724884
